#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 05 17 15 999 99.0 99.0  2.65  9.09  7.13  92 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 17 45 999 99.0 99.0  2.56  9.88  7.12  92 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 18 15 999 99.0 99.0  2.26 11.11  6.83  84 9999.0 999.0  28.5 999.0 99.0 99.00
2013 01 05 18 45 999 99.0 99.0  2.51 10.53  7.15  88 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 19 15 999 99.0 99.0  2.43  8.33  6.98  90 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 19 45 999 99.0 99.0  2.18 10.53  6.73  88 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 20 15 999 99.0 99.0  2.31  9.09  6.66  91 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 20 45 999 99.0 99.0  2.34 10.53  6.46  88 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 21 15 999 99.0 99.0  2.48 10.53  6.56  97 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 21 45 999 99.0 99.0  2.59 10.53  6.71  90 9999.0 999.0  28.4 999.0 99.0 99.00
2013 01 05 22 15 999 99.0 99.0  2.21  9.88  6.07  81 9999.0 999.0  28.4 999.0 99.0 99.00
